latent_1,latent_2,latent_3,latent_4,cluster
4.091055,1.9164537,0.0,0.96946955,2
6.1696253,2.9469435,0.0,1.326348,0
6.4776278,3.0795877,0.0,1.3572379,1
7.51733,3.595894,0.0,1.5366863,0
6.088151,2.88883,0.0,1.2929251,1
5.387588,2.5658553,0.0,1.1993378,2
4.5442224,2.1466236,0.0,1.0533113,1
4.371662,2.0600991,0.0,1.022615,3
4.886226,2.3185658,0.0,1.1146497,3
5.0180492,2.3667483,0.0,1.1184521,1
5.885245,2.7798443,0.0,1.248885,0
8.394746,4.0425806,0.0,1.7001555,0
6.6215405,3.1466925,0.0,1.3772943,0
8.181339,3.8880394,0.0,1.6100614,0
6.615188,3.1563208,0.0,1.3902167,0
8.240615,3.9243982,0.0,1.627885,0
0.0,0.0,0.8777,0.19932285,1
0.0,0.0,0.8777,0.19932285,0
0.0,0.0,0.8777,0.19932285,0
6.718966,3.1882603,0.0,1.386638,0
3.5460982,1.6596234,0.0,0.89053535,0
7.4163632,3.5201905,0.0,1.4912242,0
6.2375574,2.938918,0.0,1.292276,0
3.8341322,1.7998823,0.0,0.93720436,0
3.4899683,1.6405954,0.0,0.8905482,0
6.621809,3.1689565,0.0,1.4016106,0
6.519175,3.1212664,0.0,1.3874902,0
3.854075,1.8227824,0.0,0.95273155,2
3.9051576,1.8459855,0.0,0.96134293,0
6.3014274,2.980378,0.0,1.3139843,3
7.558239,3.605425,0.0,1.5319204,0
5.4634223,2.5904837,0.0,1.1981369,2
7.839897,3.7583,0.0,1.5947971,0
6.46245,3.0890615,0.0,1.3732738,3
7.481791,3.5775006,0.0,1.5297354,1
7.213869,3.4744885,0.0,1.516432,0
6.6017656,3.14417,0.0,1.3818842,2
4.4505525,2.1136446,0.0,1.0519894,2
8.64536,4.145231,0.0,1.7195005,1
7.3039255,3.459126,0.0,1.4660835,1
5.125253,2.4253516,0.0,1.1428405,2
5.4276567,2.582556,0.0,1.2027476,0
5.4414983,2.563173,0.0,1.176342,0
0.0,0.0,0.8777,0.19932285,2
0.0,0.0,0.8777,0.19932285,2
0.0,0.0,0.8777,0.19932285,0
6.4553084,3.0594697,0.0,1.343478,0
0.0,0.0,0.8777,0.19932285,2
0.0,0.0,0.8777,0.19932285,1
7.844466,3.7457101,0.0,1.5792904,0
0.0,0.0,0.8777,0.19932285,2
0.0,0.0,0.8777,0.19932285,2
4.7951317,2.2865522,0.0,1.1134287,0
5.7026253,2.726054,0.0,1.2578292,0
4.0315657,1.9045049,0.0,0.97849554,1
7.4737945,3.5570846,0.0,1.5103204,0
6.5156846,3.1096208,0.0,1.3760171,0
4.155062,1.9766651,0.0,1.0116907,3
4.201959,1.9801282,0.0,0.99804294,3
6.0807133,2.898724,0.0,1.3065426,0
7.262926,3.4834845,0.0,1.5080484,0
7.572315,3.6333876,0.0,1.55735,0
5.8065176,2.7559896,0.0,1.2520106,2
4.94351,2.3220196,0.0,1.0971278,1
7.3824816,3.5461802,0.0,1.5323305,1
5.986193,2.8520904,0.0,1.2905622,1
7.0884132,3.3694773,0.0,1.4479389,0
5.8947167,2.7922058,0.0,1.2589178,0
6.651543,3.1588473,0.0,1.3794631,0
