latent_1,latent_2,latent_3,latent_4,cluster
1.9682375,8.12251,17.67495,0.0,2
0.0,0.84620553,1.6417867,1.010863,0
0.0,0.20367718,0.69895816,0.0,1
3.8382626,10.039953,20.747013,0.0,0
2.1178722,8.5240555,18.535763,0.0,1
0.0,0.5857626,1.1958041,0.5753136,2
0.0,0.09748943,0.47131827,0.0,1
0.0,0.09103617,0.45748413,0.0,3
0.0,0.6749526,1.3358648,0.79184127,3
3.81185,9.866722,20.328485,0.0,1
3.5791101,9.693657,20.1213,0.0,0
0.0,0.56441295,1.1476879,0.6605648,0
2.37355,8.530046,18.376171,0.0,0
0.0,0.30775303,0.92207074,0.0,0
0.0,0.27323908,0.84808147,0.0,0
0.0,0.48568878,1.0070045,0.6561061,0
4.2925487,11.0088415,22.755465,0.0,1
0.0,0.84535575,1.6568546,0.67688876,0
0.0,0.8508126,1.6741682,0.6582284,0
2.8318615,9.606369,20.65452,0.0,0
4.288048,10.9813175,22.685286,0.0,0
0.0,0.5151648,1.0553731,0.7756956,0
3.8146052,10.0531025,20.811653,0.0,0
0.0,0.393377,0.8621384,0.5956838,0
0.0,0.14085667,0.56428677,0.0,0
0.0,0.27870286,0.8597945,0.0,0
2.7367487,9.3262,20.027359,0.0,0
2.4243674,8.712148,18.783585,0.0,2
0.0,0.48910555,1.0204175,0.5789439,0
0.0,0.7838434,1.5557132,0.6306994,3
3.745977,9.744345,20.078768,0.0,0
2.1732788,8.672739,18.854506,0.0,2
0.0,0.28267798,0.8683162,0.0,0
0.0,0.6313034,1.264459,0.72947973,3
0.0,0.58430195,1.1769545,0.80430454,1
0.0,0.7828705,1.5309981,0.84579194,0
0.0,0.47731718,1.2855738,0.0,2
0.0,0.40627104,0.8768651,0.5358001,2
0.0,0.60696715,1.2244494,0.6652592,1
0.0,0.80693793,1.5691366,0.91159284,1
2.1898546,8.271419,17.895609,0.0,2
0.0,0.65440243,1.3060501,0.7634637,0
0.0,0.34697306,1.0061486,0.0,0
2.8113751,9.579942,20.605019,0.0,2
4.207439,10.942486,22.668406,0.0,2
0.0,0.79436594,1.5689234,0.6497637,0
3.9790425,10.382029,21.476545,0.0,0
0.0,0.5437548,1.4279994,0.0,2
0.0,0.2888332,0.8815114,0.0,1
2.852932,9.568395,20.527529,0.0,0
4.411552,11.075483,22.805817,0.0,2
0.0,0.57939774,1.504409,0.0,2
2.2832704,8.400877,18.13999,0.0,0
3.7701302,9.945893,20.580559,0.0,0
2.0055833,8.222728,17.889793,0.0,1
2.0026016,8.214726,17.87264,0.0,0
0.0,0.41216055,1.1458943,0.0,0
0.0,1.1425595,2.7116868,0.0,3
0.0,0.16409808,0.6141105,0.0,3
3.9439616,10.247022,21.184013,0.0,0
0.0,0.5905092,1.1905191,0.71885747,0
3.7478719,9.8786745,20.423475,0.0,0
2.1267147,8.547784,18.58663,0.0,2
3.9631648,10.221836,21.095726,0.0,1
0.0,0.1888405,0.66715205,0.0,1
0.0,0.6906228,1.3713843,0.6927869,1
3.837254,9.932117,20.480204,0.0,0
2.5597587,8.797611,18.865332,0.0,0
3.9161844,10.143191,20.942299,0.0,0
