latent_1,latent_2,latent_3,latent_4,cluster
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
2.5398808,2.7655919,0.0,0.15935688,0
2.6752944,3.5407388,0.0,1.5194559,0
3.1776192,4.314114,0.0,2.094274,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.24936181,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
2.2092657,1.6913204,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.4284076,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.27148277,0.0,0.0,0.0,0
0.28386742,0.0,0.0,0.0,2
2.0157852,1.70667,0.0,0.0,0
0.39906722,0.0,0.0,0.0,3
0.44902217,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.4703074,0.0,0.0,0.0,0
2.8017824,2.9318092,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.458181,1.6132002,0.0,0.0,2
1.896024,0.41780764,0.0,0.0,2
2.6088722,1.8443584,0.0,0.0,1
2.7248323,2.0241544,0.0,0.0,1
1.7452004,0.0,0.0,0.0,2
2.417089,2.1438284,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.72561634,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.7411558,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
2.5832121,4.0046306,0.0,2.8062034,0
0.5083867,0.0,0.0,0.0,0
0.53145695,1.4514631,0.0,1.6898632,1
1.533407,2.3602452,0.0,1.4653168,0
2.0353885,2.9206018,0.0,1.5764434,0
1.7964745,3.0616553,0.0,2.4645364,3
2.674716,4.274119,0.0,3.2306628,3
0.48224223,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.5264004,0.0,0.0,0.0,0
1.9433506,0.59503204,0.0,0.0,2
2.0478194,0.98623955,0.0,0.0,1
2.0283296,0.9132559,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.6452587,1.9007751,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
3.1052344,2.6139662,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
1.7434585,0.0,0.0,0.0,2
2.9671967,2.3999398,0.0,0.0,1
1.9294524,0.5429878,0.0,0.0,2
1.8829103,2.7435868,0.0,1.528202,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
2.2852051,1.351166,0.0,0.0,1
1.9950032,0.7884575,0.0,0.0,1
3.380157,3.0402334,0.0,0.0,0
2.122385,1.1072413,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,3
0.4822005,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
0.44101667,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
2.4039726,1.9437016,0.0,0.0,0
2.124515,1.674174,0.0,0.0,0
2.6844323,1.9615139,0.0,0.0,0
1.9831867,0.7442085,0.0,0.0,1
3.1130018,2.6260102,0.0,0.0,0
2.3010378,1.3751502,0.0,0.0,0
2.4999564,1.6764841,0.0,0.0,3
2.7922528,2.1286895,0.0,0.0,3
2.0315747,0.92540705,0.0,0.0,0
2.5472865,1.7488703,0.0,0.0,0
1.9977176,0.79862183,0.0,0.0,0
2.0106766,0.84715027,0.0,0.0,3
2.3317873,1.4217315,0.0,0.0,0
2.7772374,2.1054082,0.0,0.0,0
1.9999013,0.8067989,0.0,0.0,1
2.8035884,2.1462657,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
2.541972,1.7406298,0.0,0.0,1
2.1192465,1.1025445,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
2.1871648,1.2041813,0.0,0.0,1
1.9520645,0.62766427,0.0,0.0,2
1.9599221,0.65708715,0.0,0.0,1
2.8187158,2.1697202,0.0,0.0,1
2.242487,1.2869684,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
2.0247993,0.90003484,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
2.5091133,3.7220337,0.0,2.3075268,1
0.9242858,0.0,0.0,0.0,0
0.4922834,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
1.3833826,2.1295214,0.0,1.2974575,3
0.47134995,0.0,0.0,0.0,3
0.5120532,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
0.3382458,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.4975145,1.6727849,0.0,0.0,0
2.7372832,2.0434594,0.0,0.0,0
2.098448,1.071421,0.0,0.0,0
1.9294729,0.54306453,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
1.7618346,0.0,0.0,0.0,2
2.5431488,2.1951168,0.0,0.0,0
1.8008559,2.3137674,0.0,0.79006153,1
0.45560163,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.4301179,0.0,0.0,0.0,0
0.6628369,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
3.6703725,4.357592,0.0,1.1357014,0
2.3737793,3.076181,0.0,1.1784365,0
0.5067409,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.5066784,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
0.5862274,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
2.549405,1.7521548,0.0,0.0,1
3.0560625,2.5377257,0.0,0.0,0
2.8143668,2.1629775,0.0,0.0,0
3.5228767,3.2615204,0.0,0.0,0
1.8069324,0.084184386,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
2.1888807,1.2067487,0.0,0.0,0
0.7652419,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
2.9341557,2.3487096,0.0,0.0,0
2.9884562,2.432902,0.0,0.0,0
2.1191628,1.1024194,0.0,0.0,2
2.7037961,1.9915375,0.0,0.0,0
2.5180397,1.7038779,0.0,0.0,0
1.9435544,0.595796,0.0,0.0,3
3.040267,2.5132346,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
1.9401462,0.5830334,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
1.875371,0.3404678,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
2.6771848,1.9502767,0.0,0.0,0
2.3697472,1.4792356,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
1.8751056,0.33947408,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
2.4158337,1.54905,0.0,0.0,2
1.6018946,1.3910816,0.0,0.0,1
0.6185494,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.29391527,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.44725406,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
0.44833595,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,2
0.52305406,1.1718347,0.0,1.1127248,2
2.1670058,3.7574742,0.0,3.2313848,3
2.1632283,1.1683612,0.0,0.0,0
2.7795415,2.1089811,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
1.7820468,0.0,0.0,0.0,2
2.6297224,1.8766867,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
2.160759,1.1646662,0.0,0.0,3
2.08083,1.0450567,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
2.5084257,1.6893141,0.0,0.0,1
2.6151161,1.8540395,0.0,0.0,0
3.0343204,2.5040143,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.51482385,0.0,0.0,0.0,0
2.6764283,2.6222017,0.0,0.0,3
0.46438122,0.0,0.0,0.0,0
0.4421568,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
2.7296996,2.54101,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,3
2.6678593,2.3410606,0.0,0.0,1
2.3639374,2.0618148,0.0,0.0,0
1.547086,2.6082492,0.0,1.984319,2
2.181829,3.5029373,0.0,2.5822997,0
2.38007,1.6087903,0.0,0.0,0
2.893808,2.9777665,0.0,0.0,3
2.4276602,1.5669656,0.0,0.0,1
1.7664101,0.0,0.0,0.0,3
2.011901,0.8517355,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.005799,0.82888514,0.0,0.0,1
1.7105117,0.0,0.0,0.0,1
2.2188432,1.2515868,0.0,0.0,0
2.4649718,1.6234876,0.0,0.0,3
2.6313205,1.8791647,0.0,0.0,0
2.4926949,2.1276534,0.0,0.0,0
3.60432,3.8250458,0.0,0.14329103,0
0.9242858,0.0,0.0,0.0,0
0.6404601,0.0,0.0,0.0,0
0.86782914,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
1.8145487,0.11270543,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
3.0587013,2.5418172,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
2.3172858,2.0096304,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.3721383,2.2552035,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,0
2.6452212,1.9007175,0.0,0.0,0
2.233699,1.2738178,0.0,0.0,3
2.5009477,1.6779863,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,1
2.23077,1.2694346,0.0,0.0,2
1.8480141,0.23802337,0.0,0.0,0
2.4524581,1.6045313,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,2
2.2445798,1.2901001,0.0,0.0,3
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
2.7441862,2.5004165,0.0,0.0,3
2.1380394,1.9426146,0.0,0.0,0
0.9242858,0.0,0.0,0.0,2
0.7497025,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,3
1.7284262,2.1803002,0.0,0.66202605,0
0.6744882,1.1168069,0.0,0.66926557,2
0.9242858,0.0,0.0,0.0,0
2.7974427,2.7847302,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,1
0.46325636,0.0,0.0,0.0,2
0.5571686,0.0,0.0,0.0,0
2.7798975,2.5509167,0.0,0.0,0
0.47724253,0.0,0.0,0.0,3
0.4363553,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,2
0.9242858,0.0,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
2.743453,2.0530255,0.0,0.0,0
0.9242858,0.0,0.0,0.0,0
1.9670849,0.68391144,0.0,0.0,2
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
2.2460444,1.2922915,0.0,0.0,2
0.9242858,0.0,0.0,0.0,0
0.9242858,0.0,0.0,0.0,3
0.9242858,0.0,0.0,0.0,0
3.2153225,2.7846577,0.0,0.0,0
2.0054114,0.82743335,0.0,0.0,1
2.3188922,1.4021971,0.0,0.0,1
0.9242858,0.0,0.0,0.0,3
