latent_1,latent_2,latent_3,latent_4,cluster
0.0,0.0,0.9759278,0.19912949,2
0.0,0.0,0.8567345,0.13303766,0
0.0,0.0,0.88757646,0.1501393,1
0.0,0.0,0.8136723,0.109159976,0
0.0,0.0,0.8793205,0.1455614,1
0.0,0.0,0.73491967,0.06549218,2
0.0,0.0,0.7940234,0.09826481,1
0.0,0.0,0.7560109,0.07718712,3
0.0,0.0,0.9012748,0.1577349,3
0.0,0.0,0.8873031,0.1499877,1
0.0,0.0,0.9835113,0.20333448,0
0.0,0.0,0.84968364,0.12912798,0
0.0,0.0,0.95452535,0.18726197,0
0.0,0.0,0.8980081,0.15592355,0
0.0,0.0,0.922477,0.16949135,0
0.0,0.0,0.9889796,0.2063666,0
0.0,0.0,0.6167648,0.0,1
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.9199619,0.16809675,0
0.0,0.0,0.90217733,0.15823534,0
0.0,0.0,0.7569262,0.077694654,0
0.0,0.0,0.9042821,0.15940246,0
0.0,0.0,0.907851,0.16138133,0
0.0,0.0,0.69356537,0.04256153,0
0.0,0.0,0.7980932,0.100521475,2
0.0,0.0,0.8568405,0.1330964,0
0.0,0.0,0.6167648,0.0,3
0.0,0.0,0.9750812,0.19866005,0
0.0,0.0,0.68999696,0.040582925,2
0.0,0.0,0.94352245,0.1811609,0
0.0,0.0,0.92461574,0.1706773,3
0.0,0.0,0.93224704,0.17490882,1
0.0,0.0,0.84119534,0.1244213,0
0.0,0.0,0.8745868,0.14293665,2
0.0,0.0,0.7915939,0.09691766,2
0.0,0.0,0.8666047,0.13851056,1
0.0,0.0,0.800568,0.10189375,1
0.0,0.0,0.9100567,0.16260442,2
0.0,0.0,0.8947871,0.15413755,0
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6167648,0.0,2
0.0,0.0,0.6167648,0.0,2
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6739203,0.031668484,0
0.0,0.0,0.6167648,0.0,2
0.0,0.0,0.6167648,0.0,1
0.0,0.0,0.6167648,0.0,0
0.0,0.0,0.6167648,0.0,2
0.0,0.0,0.6167648,0.0,2
0.0,0.0,0.9640875,0.19256407,0
0.0,0.0,0.9302659,0.17381024,0
0.0,0.0,0.90180016,0.15802622,1
0.0,0.0,0.9223062,0.16939664,0
0.0,0.0,0.9585006,0.18946621,0
0.0,0.0,0.6167648,0.0,3
0.0,0.0,0.9193996,0.16778502,3
0.0,0.0,0.8967477,0.15522471,0
0.0,0.0,0.880043,0.14596203,0
0.0,0.0,0.95782673,0.18909255,0
0.0,0.0,0.84663665,0.12743846,2
0.0,0.0,0.8923099,0.15276396,1
0.0,0.0,0.76858795,0.08416101,1
0.0,0.0,0.74293447,0.069936365,1
0.0,0.0,0.9632299,0.19208857,0
